Node,Depth,Value
root,0,-Infinity
B2,1,Infinity
A2,2,-Infinity
B2,3,Infinity
A2,4,-Infinity
B2,5,-Infinity
B2,5,Infinity
A2,6,-Infinity
B2,7,Infinity
A3,8,-9
B2,7,-9
A4,8,-9
B2,7,-9
A2,6,-9
B3,7,Infinity
A2,8,46
B3,7,46
A3,8,24
B3,7,24
A4,8,24
B3,7,24
A2,6,24
B4,7,-Infinity
B2,7,-Infinity
B2,7,Infinity
A2,8,53
B2,7,53
A3,8,30
B2,7,30
A4,8,30
B2,7,30
B2,7,30
B3,7,Infinity
A2,8,Infinity
A2,8,87
A2,8,87
A3,8,52
A2,8,52
A4,8,52
A2,8,52
B3,7,52
A3,8,67
B3,7,52
A4,8,67
B3,7,52
B2,7,52
B4,7,-Infinity
B2,7,Infinity
A2,8,60
B2,7,60
A3,8,37
B2,7,37
A4,8,37
B2,7,37
B4,7,37
B3,7,Infinity
A2,8,Infinity
A2,8,94
A2,8,94
A3,8,58
A2,8,58
A4,8,58
A2,8,58
B3,7,58
A3,8,74
B3,7,58
A4,8,74
B3,7,58
B4,7,58
B4,7,Infinity
A2,8,59
B4,7,59
A3,8,36
B4,7,36
A4,8,36
B4,7,36
B4,7,58
B2,7,58
B4,7,58
B3,7,Infinity
A2,8,83
B3,7,83
A3,8,61
B3,7,61
A4,8,61
B3,7,61
B4,7,61
B4,7,Infinity
A2,8,52
B4,7,52
A3,8,29
B4,7,29
A4,8,29
B4,7,29
B4,7,61
A2,6,61
B2,5,61
A3,6,-Infinity
B2,7,Infinity
A2,8,-10
B2,7,-10
A3,8,-9
B2,7,-10
A4,8,-31
B2,7,-31
A3,6,-31
B3,7,Infinity
A2,8,23
B3,7,23
A3,8,24
B3,7,23
A4,8,1
B3,7,1
A3,6,1
B4,7,-Infinity
B2,7,Infinity
A2,8,31
B2,7,31
A3,8,32
B2,7,31
A4,8,9
B2,7,9
B4,7,9
B3,7,Infinity
A2,8,Infinity
A2,8,59
A2,8,59
A3,8,44
A2,8,44
A4,8,22
A2,8,22
B3,7,22
A3,8,63
B3,7,22
A4,8,41
B3,7,22
B4,7,22
B4,7,Infinity
A2,8,28
B4,7,28
A3,8,29
B4,7,28
A4,8,7
B4,7,7
B4,7,22
A3,6,22
B2,5,22
A4,6,-Infinity
B2,7,Infinity
A2,8,-10
B2,7,-10
A3,8,-31
B2,7,-31
A4,8,-9
B2,7,-31
